,age,workclass,fnlwgt,education,education_num,marital_status,post,relationship,nation,gender,capital_gain,capital_loss,hours_per_week,country,wealth
48,36,25.0,155537,17.647058823529413,9,12.5,60.0,14.285714285714286,16.666666666666668,33.333333333333336,0,0,40,2.4390243902439024,33.333333333333336
111,34,25.0,198183,17.647058823529413,9,25.0,20.0,42.85714285714286,16.666666666666668,66.66666666666667,0,0,40,2.4390243902439024,33.333333333333336
144,47,25.0,120939,23.529411764705884,10,12.5,53.333333333333336,14.285714285714286,16.666666666666668,33.333333333333336,0,0,45,2.4390243902439024,33.333333333333336
198,33,25.0,222205,17.647058823529413,9,12.5,60.0,28.571428571428573,16.666666666666668,66.66666666666667,0,0,40,2.4390243902439024,66.66666666666667
416,27,25.0,163862,17.647058823529413,9,25.0,33.333333333333336,42.85714285714286,16.666666666666668,33.333333333333336,0,0,40,2.4390243902439024,33.333333333333336
441,27,25.0,181659,17.647058823529413,9,12.5,46.66666666666667,14.285714285714286,16.666666666666668,33.333333333333336,0,0,40,2.4390243902439024,33.333333333333336
475,34,25.0,153614,17.647058823529413,9,12.5,26.666666666666668,14.285714285714286,16.666666666666668,33.333333333333336,0,0,45,2.4390243902439024,66.66666666666667
511,31,25.0,125457,17.647058823529413,9,25.0,60.0,42.85714285714286,16.666666666666668,33.333333333333336,0,0,45,2.4390243902439024,33.333333333333336
540,33,25.0,194141,17.647058823529413,9,12.5,46.66666666666667,14.285714285714286,16.666666666666668,33.333333333333336,0,0,40,2.4390243902439024,33.333333333333336
666,39,25.0,117683,17.647058823529413,9,12.5,33.333333333333336,14.285714285714286,16.666666666666668,33.333333333333336,0,0,40,2.4390243902439024,66.66666666666667
685,35,25.0,152375,17.647058823529413,9,25.0,26.666666666666668,42.85714285714286,16.666666666666668,33.333333333333336,0,0,45,2.4390243902439024,33.333333333333336
691,34,25.0,175878,23.529411764705884,10,25.0,60.0,42.85714285714286,16.666666666666668,33.333333333333336,0,0,40,2.4390243902439024,33.333333333333336
